num,startBy,start_row,strart_row_op,start_location,endBy,end_row,end_row_op,end_location,have_con_branch?,next1,next1_location,num_of_asm_rows,long,rows_to_mul,size,enrances
27,blt->.L19,452,623,8735,beq->.L20,459,636,8881,True,29,8900,7,6,13,208,1,
28,beq->.L20,459,636,8881,.L20,460,637,8900,False,29,8900,1,0,1,16,1,
29,.L20,460,637,8900,.L22,463,643,8967,False,end,9038,3,3,6,96,2,
30,sha_init,463,643,8967,,475,657,9198,False,30.1,9198,12,7,14,224,0,
31,sha_update,498,685,9632,,505,696,9786,True,31.1,9786,7,6,11,176,0,
32,bcs->.L25,513,706,9925,.L25,518,712,10004,False,33,10004,5,1,6,96,1,
33,.L25,518,712,10004,,525,723,10147,False,33.1,10147,7,7,11,176,2,
34,.L27,533,734,10295,bl->memcpy(PLT),539,743,10412,False,end,end\error,6,3,9,144,1,
40,bl->memcpy(PLT),561,743,10412,sha_final,565,750,10494,False,41,10910,4,3,7,112,0,
49,bl->byte_reverse(PLT),627,750,10494,bl->sha_transform(PLT),635,762,10648,False,end,end\error,8,4,12,192,0,
50,bl->sha_transform(PLT),635,762,10648,sha_stream,639,767,10719,False,51,11821,4,1,5,80,0,
38,.L26,552,767,10719,bgt->.L27,555,770,10786,True,34,10295,3,0,3,48,1,
39,bgt->.L27,555,770,10786,bl->memcpy(PLT),561,778,10910,False,end,end\error,6,2,8,128,1,
41,sha_final,565,778,10910,,573,790,11065,True,41.1,11065,8,11,12,192,1,
42,ble->.L29,590,814,11377,bl->memset(PLT),599,827,11552,False,end,end\error,9,4,13,208,1,
47,.L29,613,827,11552,bl->memset(PLT),622,841,11731,False,end,end\error,9,5,14,224,1,
48,.L30,622,841,11731,bl->byte_reverse(PLT),627,848,11821,False,end,end\error,5,2,7,112,0,
51,sha_stream,639,848,11821,.LPIC2,650,862,12050,False,52,12050,11,3,14,224,1,
52,.LPIC2,650,862,12050,,656,871,12166,False,52.1,12166,6,6,9,144,1,
53,bl->sha_init(PLT),661,879,12259,b->.L32,662,880,12278,False,55,12429,1,0,1,16,0,
54,.L33,662,880,12278,bl->sha_update(PLT),671,892,12429,False,end,end\error,9,3,12,192,1,
55,.L32,671,892,12429,bl->fread(PLT),679,902,12583,False,end,end\error,8,2,10,160,1,
56,bl->fread(PLT),679,902,12583,bgt->.L33,688,916,12759,True,54,12278,9,5,14,224,0,
57,bgt->.L33,688,916,12759,bl->sha_final(PLT),692,922,12840,False,end,end\error,4,2,6,96,1,
58,bl->sha_final(PLT),692,922,12840,beq->.L34,701,936,13015,True,60,13034,9,5,14,224,0,
59,beq->.L34,701,936,13015,.L34,702,938,13034,False,60,13034,1,1,2,32,1,
60,.L34,702,938,13034,.L36,706,943,13105,False,end,14513,4,1,5,80,2,
61,sha_print,706,943,13105,,716,956,13320,False,61.1,13320,10,6,13,208,0,
62,.LPIC3,725,968,13478,.L39,731,977,13588,False,end,15397,6,3,9,144,1,
3.1, ,25,32,478,.L2,33,43,635,False,4,635,8,0,11,176,1,
6.1, ,49,67,964, ,58,81,1148,False,6.199999999999999,1148,9,0,14,224,1,
6.199999999999999, ,58,81,1148, ,65,95,1294,False,6.299999999999999,1294,7,0,14,224,1,
6.299999999999999, ,65,95,1294,.L4,73,106,1451,False,7,1451,8,0,11,176,1,
8.1, ,87,123,1725, ,97,135,1916,False,8.2,1916,10,0,12,192,1,
8.2, ,97,135,1916,b->.L6,106,146,2096,False,10,3132,9,0,11,176,1,
9.1, ,117,162,2304, ,128,178,2494,False,9.2,2494,11,0,16,256,1,
9.2, ,128,178,2494, ,140,194,2727,False,9.299999999999999,2727,12,0,16,256,1,
9.299999999999999, ,140,194,2727, ,150,210,2926,False,9.399999999999999,2926,10,0,16,256,1,
9.399999999999999, ,150,210,2926,.L6,161,225,3132,False,10,3132,11,0,15,240,1,
12.1, ,179,250,3497, ,189,265,3681,False,12.2,3681,10,0,15,240,1,
12.2, ,189,265,3681, ,200,280,3887,False,12.299999999999999,3887,11,0,15,240,1,
12.299999999999999, ,200,280,3887, ,210,295,4085,False,12.399999999999999,4085,10,0,15,240,1,
12.399999999999999, ,210,295,4085,.L8,220,309,4272,False,13,4272,10,0,14,224,1,
15.1, ,237,333,4618, ,248,347,4809,False,15.2,4809,11,0,14,224,1,
15.2, ,248,347,4809, ,258,361,4996,False,15.299999999999999,4996,10,0,14,224,1,
15.299999999999999, ,258,361,4996, ,267,375,5171,False,15.399999999999999,5171,9,0,14,224,1,
15.399999999999999, ,267,375,5171, ,276,389,5350,False,15.499999999999998,5350,9,0,14,224,1,
15.499999999999998, ,276,389,5350,.L10,285,401,5518,False,16,5518,9,0,12,192,1,
18.1, ,303,426,5883, ,313,441,6067,False,18.200000000000003,6067,10,0,15,240,1,
18.200000000000003, ,313,441,6067, ,324,456,6273,False,18.300000000000004,6273,11,0,15,240,1,
18.300000000000004, ,324,456,6273, ,334,471,6471,False,18.400000000000006,6471,10,0,15,240,1,
18.400000000000006, ,334,471,6471,.L12,344,485,6658,False,19,6658,10,0,14,224,1,
20.1, ,361,505,6984, ,375,520,7236,False,20.200000000000003,7236,14,0,15,240,1,
20.200000000000003, ,375,520,7236, ,388,535,7479,False,20.300000000000004,7479,13,0,15,240,1,
20.300000000000004, ,388,535,7479,beq->.L14,400,548,7707,False,22,7720,12,0,13,208,1,
24.1, ,418,571,8046,b->.L18,423,580,8151,False,26,8653,5,0,9,144,1,
25.1, ,433,592,8340, ,441,604,8513,False,25.200000000000003,8513,8,0,12,192,1,
25.200000000000003, ,441,604,8513,.L18,448,616,8653,False,26,8653,7,0,12,192,1,
30.1, ,475,657,9198, ,486,671,9408,False,30.200000000000003,9408,11,0,14,224,1,
30.200000000000003, ,486,671,9408,bx->lr,498,685,9632,False,end,end\error,12,0,14,224,1,
31.1, ,505,696,9786,bcs->.L25,513,706,9925,False,33,10004,8,0,10,160,1,
33.1, ,525,723,10147,b->.L26,533,734,10295,False,38,10719,8,0,11,176,1,
41.1, ,573,790,11065, ,581,802,11202,False,41.2,11202,8,0,12,192,1,
41.2, ,581,802,11202,ble->.L29,590,814,11377,False,47,11552,9,0,12,192,1,
52.1, ,656,871,12166,bl->sha_init(PLT),661,879,12259,False,end,end\error,5,0,8,128,1,
61.1, ,716,956,13320,.LPIC3,725,968,13478,False,62,13478,9,0,12,192,1,
