num,startBy,start_row,strart_row_op,start_location,endBy,end_row,end_row_op,end_location,have_con_branch?,next1,next1_location,num_of_asm_rows,long,rows_to_mul,size
24,.LPIC1,410,410,7300,b->.L18,423,423,7500,False,26,8267,13,0,13,208,
25,.L19,423,423,7506,.L18,448,448,8267,False,26,8267,25,0,25,400,
26,.L18,448,448,8267,blt->.L19,452,452,8321,False,25,7506,4,0,4,64,
27,blt->.L19,452,452,8321,beq->.L20,459,459,8415,True,29,8447,7,0,7,112,
28,beq->.L20,459,459,8415,.L20,460,460,8447,False,29,8447,1,0,1,16,
29,.L20,460,460,8447,.L22,463,463,8510,False,end,8510,3,0,3,48,
30,sha_init,463,463,8751,bx->lr,498,498,9442,False,end,end\error,35,0,35,560,
31,sha_update,498,498,9595,bcs->.L25,513,513,9929,False,33,10028,15,0,15,240,
32,bcs->.L25,513,513,9929,.L25,518,518,10028,False,33,10028,5,0,5,80,
33,.L25,518,518,10028,b->.L26,533,533,10291,False,38,10635,15,0,15,240,
34,.L27,533,533,10297,bl->memcpy(PLT),539,539,10394,False,end,end\error,6,0,6,96,
40,bl->memcpy(PLT),561,539,10777,sha_final,565,543,10993,False,41,10993,4,0,4,64,
49,bl->byte_reverse(PLT),627,543,12119,bl->sha_transform(PLT),635,551,12272,False,end,end\error,8,0,8,128,
50,bl->sha_transform(PLT),635,551,12272,sha_stream,639,555,12489,False,51,12489,4,0,4,64,
38,.L26,552,555,10635,bgt->.L27,555,558,10676,False,34,10297,3,0,3,48,
39,bgt->.L27,555,558,10676,bl->memcpy(PLT),561,564,10777,False,end,end\error,6,0,6,96,
41,sha_final,565,564,10993,ble->.L29,590,589,11503,True,47,11881,25,0,25,400,
42,ble->.L29,590,589,11503,bl->memset(PLT),599,598,11651,False,end,end\error,9,0,9,144,
47,.L29,613,598,11881,bl->memset(PLT),622,607,12029,False,end,end\error,9,0,9,144,
48,.L30,622,607,12035,bl->byte_reverse(PLT),627,612,12119,False,end,end\error,5,0,5,80,
51,sha_stream,639,612,12489,.LPIC2,650,623,12764,False,52,12764,11,0,11,176,
52,.LPIC2,650,623,12764,bl->sha_init(PLT),661,634,12941,False,end,end\error,11,0,11,176,
53,bl->sha_init(PLT),661,634,12941,b->.L32,662,635,12949,False,55,13112,1,0,1,16,
54,.L33,662,635,12955,bl->sha_update(PLT),671,644,13106,False,end,end\error,9,0,9,144,
55,.L32,671,644,13112,bl->fread(PLT),679,652,13238,False,end,end\error,8,0,8,128,
56,bl->fread(PLT),679,652,13238,bgt->.L33,688,661,13368,False,54,12955,9,0,9,144,
57,bgt->.L33,688,661,13368,bl->sha_final(PLT),692,665,13436,False,end,end\error,4,0,4,64,
58,bl->sha_final(PLT),692,665,13436,beq->.L34,701,674,13561,True,60,13593,9,0,9,144,
59,beq->.L34,701,674,13561,.L34,702,675,13593,False,60,13593,1,0,1,16,
60,.L34,702,675,13593,.L36,706,679,13679,False,end,13679,4,0,4,64,
61,sha_print,706,679,14008,.LPIC3,725,698,14415,False,62,14415,19,0,19,304,
62,.LPIC3,725,698,14415,.L39,731,704,14515,False,end,14515,6,0,6,96,
num,startBy,start_row,strart_row_op,start_location,endBy,end_row,end_row_op,end_location,have_con_branch?,next1,next1_location,num_of_asm_rows,long,rows_to_mul,size
1,sha_transform,1,1,378,.LPIC0,7,7,567,False,2,567,6,0,6,96,
2,.LPIC0,7,7,567,b->.L2,16,16,697,False,4,986,9,0,9,144,
3.1,.L3,16,16,702,.L2,25,25,848,False,4,986,9,0,9,144,
4,.L2,33,33,986,ble->.L3,37,37,1038,True,3,702,4,0,4,64,
5,ble->.L3,37,37,1038,b->.L4,41,41,1089,False,7,1658,4,0,4,64,
6.1,.L5,41,41,1094,.L4,57,57,1380,False,7,1658,16,0,16,256,
7,.L4,73,73,1658,ble->.L5,77,77,1710,True,6,1094,4,0,4,64,
8.1,ble->.L5,77,77,1710,b->.L6,92,92,1946,False,10,3040,15,0,15,240,
9.1,.L7,106,106,2163,.L6,120,120,2382,False,10,3040,14,0,14,224,
10,.L6,161,161,3040,ble->.L7,165,165,3092,True,9,2163,4,0,4,64,
11,ble->.L7,165,165,3092,b->.L8,169,169,3143,False,13,3964,4,0,4,64,
12.1,.L9,169,169,3148,.L8,182,182,3356,False,13,3964,13,0,13,208,
13,.L8,220,220,3964,ble->.L9,224,224,4016,True,12,3148,4,0,4,64,
14,ble->.L9,224,224,4016,b->.L10,228,228,4068,False,16,4987,4,0,4,64,
15.1,.L11,228,228,4074,.L10,243,243,4311,False,16,4987,15,0,15,240,
16,.L10,285,285,4987,ble->.L11,289,289,5040,True,15,4074,4,0,4,64,
17,ble->.L11,289,289,5040,b->.L12,293,293,5092,False,19,5915,4,0,4,64,
18.1,.L13,293,293,5098,.L12,306,306,5306,False,19,5915,13,0,13,208,
19,.L12,344,344,5915,ble->.L13,348,348,5968,True,18,5098,4,0,4,64,
20.1,ble->.L13,348,348,5968,beq->.L14,361,361,6171,True,22,6816,13,0,13,208,
21,beq->.L14,400,400,6784,.L14,401,401,6816,False,22,6816,1,0,1,16,
22,.L14,401,401,6816,.L16,404,404,6883,False,end,6883,3,0,3,48,
23,byte_reverse,404,404,7116,.LPIC1,410,410,7300,False,24,7300,6,0,6,96,
24,.LPIC1,410,410,7300,b->.L18,423,423,7500,False,26,8267,13,0,13,208,
25.1,.L19,423,423,7506,.L18,436,436,7849,False,26,8267,13,0,13,208,
26,.L18,448,448,8267,blt->.L19,452,452,8321,False,25,7506,4,0,4,64,
27,blt->.L19,452,452,8321,beq->.L20,459,459,8415,True,29,8447,7,0,7,112,
28,beq->.L20,459,459,8415,.L20,460,460,8447,False,29,8447,1,0,1,16,
29,.L20,460,460,8447,.L22,463,463,8510,False,end,8510,3,0,3,48,
30.1,sha_init,463,463,8751,bx->lr,475,475,9010,False,end,end\error,12,0,12,192,
31,sha_update,498,498,9595,bcs->.L25,513,513,9929,False,33,10028,15,0,15,240,
32,bcs->.L25,513,513,9929,.L25,518,518,10028,False,33,10028,5,0,5,80,
33,.L25,518,518,10028,b->.L26,533,533,10291,False,38,10635,15,0,15,240,
34,.L27,533,533,10297,bl->memcpy(PLT),539,539,10394,False,end,end\error,6,0,6,96,
40,bl->memcpy(PLT),561,539,10777,sha_final,565,543,10993,False,41,10993,4,0,4,64,
49,bl->byte_reverse(PLT),627,543,12119,bl->sha_transform(PLT),635,551,12272,False,end,end\error,8,0,8,128,
50,bl->sha_transform(PLT),635,551,12272,sha_stream,639,555,12489,False,51,12489,4,0,4,64,
38,.L26,552,555,10635,bgt->.L27,555,558,10676,False,34,10297,3,0,3,48,
39,bgt->.L27,555,558,10676,bl->memcpy(PLT),561,564,10777,False,end,end\error,6,0,6,96,
41.1,sha_final,565,564,10993,ble->.L29,578,577,11272,True,47,11881,13,0,13,208,
42,ble->.L29,590,589,11503,bl->memset(PLT),599,598,11651,False,end,end\error,9,0,9,144,
47,.L29,613,598,11881,bl->memset(PLT),622,607,12029,False,end,end\error,9,0,9,144,
48,.L30,622,607,12035,bl->byte_reverse(PLT),627,612,12119,False,end,end\error,5,0,5,80,
51,sha_stream,639,612,12489,.LPIC2,650,623,12764,False,52,12764,11,0,11,176,
52,.LPIC2,650,623,12764,bl->sha_init(PLT),661,634,12941,False,end,end\error,11,0,11,176,
53,bl->sha_init(PLT),661,634,12941,b->.L32,662,635,12949,False,55,13112,1,0,1,16,
54,.L33,662,635,12955,bl->sha_update(PLT),671,644,13106,False,end,end\error,9,0,9,144,
55,.L32,671,644,13112,bl->fread(PLT),679,652,13238,False,end,end\error,8,0,8,128,
56,bl->fread(PLT),679,652,13238,bgt->.L33,688,661,13368,False,54,12955,9,0,9,144,
57,bgt->.L33,688,661,13368,bl->sha_final(PLT),692,665,13436,False,end,end\error,4,0,4,64,
58,bl->sha_final(PLT),692,665,13436,beq->.L34,701,674,13561,True,60,13593,9,0,9,144,
59,beq->.L34,701,674,13561,.L34,702,675,13593,False,60,13593,1,0,1,16,
60,.L34,702,675,13593,.L36,706,679,13679,False,end,13679,4,0,4,64,
61.1,sha_print,706,679,14008,.LPIC3,716,689,14227,False,62,14415,10,0,10,160,
62,.LPIC3,725,698,14415,.L39,731,704,14515,False,end,14515,6,0,6,96,
3.2, ,25,25,848, ,33,33,981,False,0,0,8,0,8,128,
6.199999999999999, ,57,57,1380, ,73,73,1653,False,0,0,16,0,16,256,
8.2, ,92,92,1946, ,106,106,2158,False,0,0,14,0,14,224,
9.2, ,120,120,2382, ,134,134,2618,False,0,0,14,0,14,224,
9.299999999999999, ,134,134,2618, ,148,148,2834,False,0,0,14,0,14,224,
9.399999999999999, ,148,148,2834, ,161,161,3035,False,0,0,13,0,13,208,
12.2, ,182,182,3356, ,195,195,3573,False,0,0,13,0,13,208,
12.299999999999999, ,195,195,3573, ,208,208,3775,False,0,0,13,0,13,208,
12.399999999999999, ,208,208,3775, ,220,220,3959,False,0,0,12,0,12,192,
15.2, ,243,243,4311, ,258,258,4564,False,0,0,15,0,15,240,
15.299999999999999, ,258,258,4564, ,273,273,4797,False,0,0,15,0,15,240,
15.399999999999999, ,273,273,4797, ,285,285,4981,False,0,0,12,0,12,192,
18.200000000000003, ,306,306,5306, ,319,319,5523,False,0,0,13,0,13,208,
18.300000000000004, ,319,319,5523, ,332,332,5725,False,0,0,13,0,13,208,
18.400000000000006, ,332,332,5725, ,344,344,5909,False,0,0,12,0,12,192,
20.200000000000003, ,361,361,6171, ,374,374,6377,False,0,0,13,0,13,208,
20.300000000000004, ,374,374,6377, ,387,387,6592,False,0,0,13,0,13,208,
20.400000000000006, ,387,387,6592, ,400,400,6784,False,0,0,13,0,13,208,
25.200000000000003, ,436,436,7849, ,448,448,8099,False,0,0,12,0,12,192,
30.200000000000003, ,475,475,9010, ,487,487,9217,False,0,0,12,0,12,192,
30.300000000000004, ,487,487,9217, ,498,498,9392,False,0,0,11,0,11,176,
41.2, ,578,577,11272, ,590,589,11480,False,0,0,12,0,12,192,
61.2, ,716,689,14227, ,725,698,14381,False,0,0,9,0,9,144,
num,startBy,start_row,strart_row_op,start_location,endBy,end_row,end_row_op,end_location,have_con_branch?,next1,next1_location,num_of_asm_rows,long,rows_to_mul,size
1,sha_transform,1,1,378,.LPIC0,7,7,567,False,2,567,6,0,6,96,
2,.LPIC0,7,7,567,b->.L2,16,16,697,False,4,986,9,0,9,144,
3,.L3,16,16,702,.L2,33,33,986,False,4,986,17,0,17,272,
4,.L2,33,33,986,ble->.L3,37,37,1038,True,3,702,4,0,4,64,
5,ble->.L3,37,37,1038,b->.L4,41,41,1089,False,7,1658,4,0,4,64,
6,.L5,41,41,1094,.L4,73,73,1658,False,7,1658,32,0,32,512,
7,.L4,73,73,1658,ble->.L5,77,77,1710,True,6,1094,4,0,4,64,
8,ble->.L5,77,77,1710,b->.L6,106,106,2158,False,10,3040,29,0,29,464,
9,.L7,106,106,2163,.L6,161,161,3040,False,10,3040,55,0,55,880,
10,.L6,161,161,3040,ble->.L7,165,165,3092,True,9,2163,4,0,4,64,
11,ble->.L7,165,165,3092,b->.L8,169,169,3143,False,13,3964,4,0,4,64,
12,.L9,169,169,3148,.L8,220,220,3964,False,13,3964,51,0,51,816,
13,.L8,220,220,3964,ble->.L9,224,224,4016,True,12,3148,4,0,4,64,
14,ble->.L9,224,224,4016,b->.L10,228,228,4068,False,16,4987,4,0,4,64,
15,.L11,228,228,4074,.L10,285,285,4987,False,16,4987,57,0,57,912,
16,.L10,285,285,4987,ble->.L11,289,289,5040,True,15,4074,4,0,4,64,
17,ble->.L11,289,289,5040,b->.L12,293,293,5092,False,19,5915,4,0,4,64,
18,.L13,293,293,5098,.L12,344,344,5915,False,19,5915,51,0,51,816,
19,.L12,344,344,5915,ble->.L13,348,348,5968,True,18,5098,4,0,4,64,
20,ble->.L13,348,348,5968,beq->.L14,400,400,6784,True,22,6816,52,0,52,832,
21,beq->.L14,400,400,6784,.L14,401,401,6816,False,22,6816,1,0,1,16,
22,.L14,401,401,6816,.L16,404,404,6883,False,end,6883,3,0,3,48,
23,byte_reverse,404,404,7116,.LPIC1,410,410,7300,False,24,7300,6,0,6,96,
24,.LPIC1,410,410,7300,b->.L18,423,423,7500,False,26,8267,13,0,13,208,
25,.L19,423,423,7506,.L18,448,448,8267,False,26,8267,25,0,25,400,
26,.L18,448,448,8267,blt->.L19,452,452,8321,False,25,7506,4,0,4,64,
27,blt->.L19,452,452,8321,beq->.L20,459,459,8415,True,29,8447,7,0,7,112,
28,beq->.L20,459,459,8415,.L20,460,460,8447,False,29,8447,1,0,1,16,
29,.L20,460,460,8447,.L22,463,463,8510,False,end,8510,3,0,3,48,
30,sha_init,463,463,8751,bx->lr,498,498,9442,False,end,end\error,35,0,35,560,
31,sha_update,498,498,9595,bcs->.L25,513,513,9929,False,33,10028,15,0,15,240,
32,bcs->.L25,513,513,9929,.L25,518,518,10028,False,33,10028,5,0,5,80,
33,.L25,518,518,10028,b->.L26,533,533,10291,False,38,10635,15,0,15,240,
34,.L27,533,533,10297,bl->memcpy(PLT),539,539,10394,False,end,end\error,6,0,6,96,
40,bl->memcpy(PLT),561,539,10777,sha_final,565,543,10993,False,41,10993,4,0,4,64,
49,bl->byte_reverse(PLT),627,543,12119,bl->sha_transform(PLT),635,551,12272,False,end,end\error,8,0,8,128,
50,bl->sha_transform(PLT),635,551,12272,sha_stream,639,555,12489,False,51,12489,4,0,4,64,
38,.L26,552,555,10635,bgt->.L27,555,558,10676,False,34,10297,3,0,3,48,
39,bgt->.L27,555,558,10676,bl->memcpy(PLT),561,564,10777,False,end,end\error,6,0,6,96,
41,sha_final,565,564,10993,ble->.L29,590,589,11503,True,47,11881,25,0,25,400,
42,ble->.L29,590,589,11503,bl->memset(PLT),599,598,11651,False,end,end\error,9,0,9,144,
47,.L29,613,598,11881,bl->memset(PLT),622,607,12029,False,end,end\error,9,0,9,144,
48,.L30,622,607,12035,bl->byte_reverse(PLT),627,612,12119,False,end,end\error,5,0,5,80,
51,sha_stream,639,612,12489,.LPIC2,650,623,12764,False,52,12764,11,0,11,176,
52,.LPIC2,650,623,12764,bl->sha_init(PLT),661,634,12941,False,end,end\error,11,0,11,176,
53,bl->sha_init(PLT),661,634,12941,b->.L32,662,635,12949,False,55,13112,1,0,1,16,
54,.L33,662,635,12955,bl->sha_update(PLT),671,644,13106,False,end,end\error,9,0,9,144,
55,.L32,671,644,13112,bl->fread(PLT),679,652,13238,False,end,end\error,8,0,8,128,
56,bl->fread(PLT),679,652,13238,bgt->.L33,688,661,13368,False,54,12955,9,0,9,144,
57,bgt->.L33,688,661,13368,bl->sha_final(PLT),692,665,13436,False,end,end\error,4,0,4,64,
58,bl->sha_final(PLT),692,665,13436,beq->.L34,701,674,13561,True,60,13593,9,0,9,144,
59,beq->.L34,701,674,13561,.L34,702,675,13593,False,60,13593,1,0,1,16,
60,.L34,702,675,13593,.L36,706,679,13679,False,end,13679,4,0,4,64,
61,sha_print,706,679,14008,.LPIC3,725,698,14415,False,62,14415,19,0,19,304,
62,.LPIC3,725,698,14415,.L39,731,704,14515,False,end,14515,6,0,6,96,
num,startBy,start_row,strart_row_op,start_location,endBy,end_row,end_row_op,end_location,have_con_branch?,next1,next1_location,num_of_asm_rows,long,rows_to_mul,size
1,sha_transform,1,1,378,.LPIC0,7,7,567,False,2,567,6,0,6,96,
2,.LPIC0,7,7,567,b->.L2,16,16,697,False,4,986,9,0,9,144,
3.1,.L3,16,16,702,.L2,25,25,848,False,4,986,9,0,9,144,
4,.L2,33,33,986,ble->.L3,37,37,1038,True,3,702,4,0,4,64,
5,ble->.L3,37,37,1038,b->.L4,41,41,1089,False,7,1658,4,0,4,64,
6.1,.L5,41,41,1094,.L4,57,57,1380,False,7,1658,16,0,16,256,
7,.L4,73,73,1658,ble->.L5,77,77,1710,True,6,1094,4,0,4,64,
8.1,ble->.L5,77,77,1710,b->.L6,92,92,1946,False,10,3040,15,0,15,240,
9.1,.L7,106,106,2163,.L6,120,120,2382,False,10,3040,14,0,14,224,
10,.L6,161,161,3040,ble->.L7,165,165,3092,True,9,2163,4,0,4,64,
11,ble->.L7,165,165,3092,b->.L8,169,169,3143,False,13,3964,4,0,4,64,
12.1,.L9,169,169,3148,.L8,182,182,3356,False,13,3964,13,0,13,208,
13,.L8,220,220,3964,ble->.L9,224,224,4016,True,12,3148,4,0,4,64,
14,ble->.L9,224,224,4016,b->.L10,228,228,4068,False,16,4987,4,0,4,64,
15.1,.L11,228,228,4074,.L10,243,243,4311,False,16,4987,15,0,15,240,
16,.L10,285,285,4987,ble->.L11,289,289,5040,True,15,4074,4,0,4,64,
17,ble->.L11,289,289,5040,b->.L12,293,293,5092,False,19,5915,4,0,4,64,
18.1,.L13,293,293,5098,.L12,306,306,5306,False,19,5915,13,0,13,208,
19,.L12,344,344,5915,ble->.L13,348,348,5968,True,18,5098,4,0,4,64,
20.1,ble->.L13,348,348,5968,beq->.L14,361,361,6171,True,22,6816,13,0,13,208,
21,beq->.L14,400,400,6784,.L14,401,401,6816,False,22,6816,1,0,1,16,
22,.L14,401,401,6816,.L16,404,404,6883,False,end,6883,3,0,3,48,
23,byte_reverse,404,404,7116,.LPIC1,410,410,7300,False,24,7300,6,0,6,96,
24,.LPIC1,410,410,7300,b->.L18,423,423,7500,False,26,8267,13,0,13,208,
25.1,.L19,423,423,7506,.L18,436,436,7849,False,26,8267,13,0,13,208,
26,.L18,448,448,8267,blt->.L19,452,452,8321,False,25,7506,4,0,4,64,
27,blt->.L19,452,452,8321,beq->.L20,459,459,8415,True,29,8447,7,0,7,112,
28,beq->.L20,459,459,8415,.L20,460,460,8447,False,29,8447,1,0,1,16,
29,.L20,460,460,8447,.L22,463,463,8510,False,end,8510,3,0,3,48,
30.1,sha_init,463,463,8751,bx->lr,475,475,9010,False,end,end\error,12,0,12,192,
31,sha_update,498,498,9595,bcs->.L25,513,513,9929,False,33,10028,15,0,15,240,
32,bcs->.L25,513,513,9929,.L25,518,518,10028,False,33,10028,5,0,5,80,
33,.L25,518,518,10028,b->.L26,533,533,10291,False,38,10635,15,0,15,240,
34,.L27,533,533,10297,bl->memcpy(PLT),539,539,10394,False,end,end\error,6,0,6,96,
40,bl->memcpy(PLT),561,539,10777,sha_final,565,543,10993,False,41,10993,4,0,4,64,
49,bl->byte_reverse(PLT),627,543,12119,bl->sha_transform(PLT),635,551,12272,False,end,end\error,8,0,8,128,
50,bl->sha_transform(PLT),635,551,12272,sha_stream,639,555,12489,False,51,12489,4,0,4,64,
38,.L26,552,555,10635,bgt->.L27,555,558,10676,False,34,10297,3,0,3,48,
39,bgt->.L27,555,558,10676,bl->memcpy(PLT),561,564,10777,False,end,end\error,6,0,6,96,
41.1,sha_final,565,564,10993,ble->.L29,578,577,11272,True,47,11881,13,0,13,208,
42,ble->.L29,590,589,11503,bl->memset(PLT),599,598,11651,False,end,end\error,9,0,9,144,
47,.L29,613,598,11881,bl->memset(PLT),622,607,12029,False,end,end\error,9,0,9,144,
48,.L30,622,607,12035,bl->byte_reverse(PLT),627,612,12119,False,end,end\error,5,0,5,80,
51,sha_stream,639,612,12489,.LPIC2,650,623,12764,False,52,12764,11,0,11,176,
52,.LPIC2,650,623,12764,bl->sha_init(PLT),661,634,12941,False,end,end\error,11,0,11,176,
53,bl->sha_init(PLT),661,634,12941,b->.L32,662,635,12949,False,55,13112,1,0,1,16,
54,.L33,662,635,12955,bl->sha_update(PLT),671,644,13106,False,end,end\error,9,0,9,144,
55,.L32,671,644,13112,bl->fread(PLT),679,652,13238,False,end,end\error,8,0,8,128,
56,bl->fread(PLT),679,652,13238,bgt->.L33,688,661,13368,False,54,12955,9,0,9,144,
57,bgt->.L33,688,661,13368,bl->sha_final(PLT),692,665,13436,False,end,end\error,4,0,4,64,
58,bl->sha_final(PLT),692,665,13436,beq->.L34,701,674,13561,True,60,13593,9,0,9,144,
59,beq->.L34,701,674,13561,.L34,702,675,13593,False,60,13593,1,0,1,16,
60,.L34,702,675,13593,.L36,706,679,13679,False,end,13679,4,0,4,64,
61.1,sha_print,706,679,14008,.LPIC3,716,689,14227,False,62,14415,10,0,10,160,
62,.LPIC3,725,698,14415,.L39,731,704,14515,False,end,14515,6,0,6,96,
3.2, ,25,25,848, ,33,33,981,False,0,0,8,0,8,128,
6.199999999999999, ,57,57,1380, ,73,73,1653,False,0,0,16,0,16,256,
8.2, ,92,92,1946, ,106,106,2158,False,0,0,14,0,14,224,
9.2, ,120,120,2382, ,134,134,2618,False,0,0,14,0,14,224,
9.299999999999999, ,134,134,2618, ,148,148,2834,False,0,0,14,0,14,224,
9.399999999999999, ,148,148,2834, ,161,161,3035,False,0,0,13,0,13,208,
12.2, ,182,182,3356, ,195,195,3573,False,0,0,13,0,13,208,
12.299999999999999, ,195,195,3573, ,208,208,3775,False,0,0,13,0,13,208,
12.399999999999999, ,208,208,3775, ,220,220,3959,False,0,0,12,0,12,192,
15.2, ,243,243,4311, ,258,258,4564,False,0,0,15,0,15,240,
15.299999999999999, ,258,258,4564, ,273,273,4797,False,0,0,15,0,15,240,
15.399999999999999, ,273,273,4797, ,285,285,4981,False,0,0,12,0,12,192,
18.200000000000003, ,306,306,5306, ,319,319,5523,False,0,0,13,0,13,208,
18.300000000000004, ,319,319,5523, ,332,332,5725,False,0,0,13,0,13,208,
18.400000000000006, ,332,332,5725, ,344,344,5909,False,0,0,12,0,12,192,
20.200000000000003, ,361,361,6171, ,374,374,6377,False,0,0,13,0,13,208,
20.300000000000004, ,374,374,6377, ,387,387,6592,False,0,0,13,0,13,208,
20.400000000000006, ,387,387,6592, ,400,400,6784,False,0,0,13,0,13,208,
25.200000000000003, ,436,436,7849, ,448,448,8099,False,0,0,12,0,12,192,
30.200000000000003, ,475,475,9010, ,487,487,9217,False,0,0,12,0,12,192,
30.300000000000004, ,487,487,9217, ,498,498,9392,False,0,0,11,0,11,176,
41.2, ,578,577,11272, ,590,589,11480,False,0,0,12,0,12,192,
61.2, ,716,689,14227, ,725,698,14381,False,0,0,9,0,9,144,
